,Unnamed: 0,Name,user_id,product_id,rating,times_stamps,offers,product_name
0,0,Dhanuk Desai,A2CX7LUOHB2NDG,21 Seeds Cucumber Jalapeno,5.0,1341100800,"""Get 20% off on all orders this weekend!""",21 Seeds Cucumber Jalapeno
1,1,Dhanuk Desai,A2CX7LUOHB2NDG,21 Seeds Grapefruit Hibiscus,5.0,1344988800,"""Enter our Instagram giveaway for a chance to win a $100 gift card.""",21 Seeds Grapefruit Hibiscus
2,2,Dhanuk Desai,A2CX7LUOHB2NDG,21 Seeds Margarita Lovers Combo Pack,5.0,1349222400,"""Last chance to grab items at clearance prices. Up to 70% off!""",21 Seeds Margarita Lovers Combo Pack
3,3,Dhanuk Desai,A2CX7LUOHB2NDG,21 Seeds Squad Starter Pack,4.0,1367539200,"""Buy a laptop, mouse, and bag together and save 15%.""",21 Seeds Squad Starter Pack
4,4,Samiha Goyal,A2NWSAGRHCP8N5,21 Seeds Valencia Orange,1.0,1367193600,"""Buy one, get one 50% off.""",21 Seeds Valencia Orange
5,5,Indranil Ganesh,A2WNBOD3WNDNKT,American Anthem American Vodka,3.0,1374451200,"""Buy one, get one 50% off.""",21 Seeds Valencia Orange
6,6,Baiju Rau,A1GI0U4ZRJA8WN,Astral Tequila Anejo,1.0,1334707200,"""Buy one, get one 50% off.""",21 Seeds Valencia Orange
7,7,Vanya Hayre,A1QGNMC6O1VW39,Astral Tequila Blanco,5.0,1397433600,"""Save $10 when you spend $50 or more.""",American Anthem American Vodka
8,8,Vanya Hayre,A1QGNMC6O1VW39,Astral Tequila Reposado,5.0,1391385600,"""Welcome to our store! New customers get 15% off their first order.""",Astral Tequila Anejo
9,9,Divij Brar,A3J3BRHTDRFJ2G,Auchroisk 20YO,2.0,1397433600,"""Save $10 when you spend $50 or more.""",American Anthem American Vodka
10,10,Divij Brar,A3J3BRHTDRFJ2G,Auchroisk 25YO,2.0,1029283200,"""Upgrade your phone and get a free case and screen protector.""",Astral Tequila Blanco
11,11,Divij Brar,A3J3BRHTDRFJ2G,Auchroisk 30YO,3.0,1236470400,"""Refer a friend and get 20% off your next purchase when they make their first order.""",Astral Tequila Reposado
12,12,Divij Brar,A3J3BRHTDRFJ2G,Aviation American Gin,4.0,1329523200,"""Buy one pair of shoes, get a second pair free.""",Auchroisk 20YO
13,13,Divij Brar,A3J3BRHTDRFJ2G,Aviation Old Tom,4.0,1373760000,"""Exclusive offer for our loyal customers: 20% off your next visit.""",Auchroisk 25YO
14,14,Divij Brar,A3J3BRHTDRFJ2G,Baileys Almande,5.0,1399766400,"""Birthday month exclusive: 10% off for all August birthdays.""",Auchroisk 30YO
15,15,Divij Brar,A3J3BRHTDRFJ2G,Baileys Chocolate Cherry,5.0,1261267200,"""Tag a friend and both of you get a 15% discount code.""",Aviation American Gin
